,zmean,zmax,zmin,area,slope,lat,icecap
RGI60-08.02890,1719.13671875,1797.5693,1655.3907,0.06,"0    14
Name: Slope, dtype: object",62.457,0
RGI60-08.02891,1422.8798828125,1498.19,1323.949,0.028,"0    21.8
Name: Slope, dtype: object",62.621,0
RGI60-08.02892,1540.0333251953125,1644.2155,1432.561,0.044,"0    18.9
Name: Slope, dtype: object",62.618,0
RGI60-08.02893,1460.332763671875,1547.9652,1344.44,0.047,"0    27.9
Name: Slope, dtype: object",62.642,0
RGI60-08.02894,1679.0594482421875,1776.6898,1601.445,0.062,"0    14.6
Name: Slope, dtype: object",62.453,0
RGI60-08.02895,1790.8238525390625,1845.3783,1734.1743,0.075,"0    10.5
Name: Slope, dtype: object",62.366,0
RGI60-08.02896,1684.121337890625,1791.21,1550.3445,0.096,"0    24
Name: Slope, dtype: object",62.375,0
RGI60-08.02897,1782.77490234375,2048.623,1559.1624,0.122,"0    26.4
Name: Slope, dtype: object",62.294,0
RGI60-08.02898,1984.844482421875,2273.7788,1647.9133,0.499,"0    22.3
Name: Slope, dtype: object",62.325,0
RGI60-08.02899,1794.70751953125,1898.383,1698.9403,0.154,"0    18
Name: Slope, dtype: object",62.36,0
RGI60-08.02900,1842.8438720703125,2092.1611,1623.3417,0.201,"0    26.1
Name: Slope, dtype: object",62.322,0
RGI60-08.02901,1791.0853271484375,2075.3955,1529.6782,0.502,"0    18.4
Name: Slope, dtype: object",62.298,0
RGI60-08.02902,1787.7044677734375,2013.7075,1670.3094,0.041,"0    39.5
Name: Slope, dtype: object",62.317,0
RGI60-08.02903,1700.317626953125,1821.0161,1585.4126,0.044,"0    22.7
Name: Slope, dtype: object",62.373,0
RGI60-08.02904,1730.8157958984375,1819.1731,1629.4187,0.06,"0    19.3
Name: Slope, dtype: object",62.263,0
RGI60-08.02905,1741.9041748046875,1872.6477,1569.844,0.112,"0    23.1
Name: Slope, dtype: object",62.256,0
RGI60-08.02906,1778.010986328125,2205.791,1524.5145,0.545,"0    16.7
Name: Slope, dtype: object",62.289,0
RGI60-08.02907,1912.723388671875,2273.6606,1629.9391,1.032,"0    17.3
Name: Slope, dtype: object",62.314,0
RGI60-08.02908,1442.6796875,1612.2065,924.69354,3.445,"0    8.699999999999999
Name: Slope, dtype: object",60.022,0
RGI60-08.02909,1357.463623046875,1456.4766,1297.4558,0.169,"0    10.5
Name: Slope, dtype: object",60.12,0
RGI60-08.02910,1516.044696969697,1610.0,1387.0,0.246,"0    13.2
Name: Slope, dtype: object",59.934,0
RGI60-08.02911,1420.3478260869565,1528.0,1344.0,0.069,"0    20
Name: Slope, dtype: object",59.934,0
RGI60-08.02912,1443.7444178628389,1540.0,1289.0,0.108,"0    27.6
Name: Slope, dtype: object",59.937,0
RGI60-08.02913,1502.1300048828125,1534.7653,1447.5056,0.049,"0    7.2
Name: Slope, dtype: object",60.033,0
RGI60-08.02914,1407.5849609375,1497.254,1245.203,0.054,"0    29
Name: Slope, dtype: object",60.1,0
RGI60-08.02915,1440.006103515625,1520.4329,1334.1597,0.052,"0    16.3
Name: Slope, dtype: object",60.375,0
