RGI_ID,zmed,zmax,zmin,area,slope,lat,icecap,ID
RGI60-08.01976,1685.0,1744.0,1561.0,0.146,27.4,62.475,0,RGI60-08.01976
RGI60-08.01977,1564.0,1740.0,1459.0,0.078,38.7,62.416,0,RGI60-08.01977
RGI60-08.01978,1593.0,1691.0,1511.0,0.094,24.2,62.405,0,RGI60-08.01978
RGI60-08.01979,1298.0,1404.0,1203.0,0.091,32.2,62.494,0,RGI60-08.01979
RGI60-08.01980,1728.0,1772.0,1671.0,0.111,14.5,62.402,0,RGI60-08.01980
RGI60-08.01981,1232.0,1269.0,1199.0,0.036,18.6,62.536,0,RGI60-08.01981
RGI60-08.01982,1374.0,1415.0,1346.0,0.143,9.8,62.538,0,RGI60-08.01982
RGI60-08.01983,1273.0,1308.0,1246.0,0.072,15.5,62.541,0,RGI60-08.01983
RGI60-08.01984,1543.0,1617.0,1456.0,0.154,21.1,62.44,0,RGI60-08.01984
RGI60-08.01985,1386.0,1430.0,1317.0,0.072,15.0,62.51,0,RGI60-08.01985
RGI60-08.01986,1447.0,1494.0,1381.0,0.117,19.3,62.454,0,RGI60-08.01986
RGI60-08.01987,1401.0,1617.0,1121.0,0.431,31.2,62.499,0,RGI60-08.01987
RGI60-08.01988,1310.0,1316.0,1266.0,0.031,15.9,61.374,0,RGI60-08.01988
RGI60-08.01989,1250.0,1344.0,1178.0,0.14,30.4,61.391,0,RGI60-08.01989
RGI60-08.01990,1327.0,1438.0,1251.0,0.322,16.0,61.402,0,RGI60-08.01990
RGI60-08.01991,1287.0,1466.0,1169.0,0.278,26.9,61.4,0,RGI60-08.01991
RGI60-08.01992,1274.0,1299.0,1232.0,0.048,12.8,61.401,0,RGI60-08.01992
RGI60-08.01993,1310.0,1432.0,1186.0,0.202,24.5,61.39,0,RGI60-08.01993
RGI60-08.01994,1311.0,1443.0,1229.0,0.17,22.1,61.397,0,RGI60-08.01994
RGI60-08.01995,1387.0,1432.0,1353.0,0.038,23.2,61.373,0,RGI60-08.01995
RGI60-08.01996,1214.0,1239.0,1161.0,0.073,11.6,61.394,0,RGI60-08.01996
RGI60-08.01997,1597.0,1611.0,1570.0,0.118,7.0,61.413,0,RGI60-08.01997
RGI60-08.01998,1428.0,1478.0,1352.0,0.096,14.6,61.463,0,RGI60-08.01998
RGI60-08.01999,1489.0,1626.0,1141.0,2.517,14.0,61.482,0,RGI60-08.01999
